[2026-03-19T09:29:06.321+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896842.json to Snowflake stage
[2026-03-19T09:29:06.475+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896852.json to Snowflake stage
[2026-03-19T09:29:06.645+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896862.json to Snowflake stage
[2026-03-19T09:29:06.832+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896872.json to Snowflake stage
[2026-03-19T09:29:07.015+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896882.json to Snowflake stage
[2026-03-19T09:29:07.256+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896892.json to Snowflake stage
[2026-03-19T09:29:07.413+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896902.json to Snowflake stage
[2026-03-19T09:29:07.601+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896912.json to Snowflake stage
[2026-03-19T09:29:07.793+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896923.json to Snowflake stage
[2026-03-19T09:29:07.956+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896933.json to Snowflake stage
[2026-03-19T09:29:08.119+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896943.json to Snowflake stage
[2026-03-19T09:29:08.280+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896953.json to Snowflake stage
[2026-03-19T09:29:08.502+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896963.json to Snowflake stage
[2026-03-19T09:29:08.704+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896973.json to Snowflake stage
[2026-03-19T09:29:08.871+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896983.json to Snowflake stage
[2026-03-19T09:29:09.051+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896993.json to Snowflake stage
[2026-03-19T09:29:09.233+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897003.json to Snowflake stage
[2026-03-19T09:29:09.405+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897013.json to Snowflake stage
[2026-03-19T09:29:09.578+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897023.json to Snowflake stage
[2026-03-19T09:29:10.586+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897033.json to Snowflake stage
[2026-03-19T09:29:12.264+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897043.json to Snowflake stage
[2026-03-19T09:29:12.474+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897054.json to Snowflake stage
[2026-03-19T09:29:12.641+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897064.json to Snowflake stage
[2026-03-19T09:29:12.823+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897074.json to Snowflake stage
[2026-03-19T09:29:12.984+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897084.json to Snowflake stage
[2026-03-19T09:29:13.176+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897094.json to Snowflake stage
[2026-03-19T09:29:13.339+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897104.json to Snowflake stage
[2026-03-19T09:29:13.533+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897114.json to Snowflake stage
[2026-03-19T09:29:13.727+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897124.json to Snowflake stage
[2026-03-19T09:29:13.889+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897134.json to Snowflake stage
[2026-03-19T09:29:14.066+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897144.json to Snowflake stage
[2026-03-19T09:29:14.269+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897154.json to Snowflake stage
[2026-03-19T09:29:14.437+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897164.json to Snowflake stage
