[2026-03-19T09:28:09.116+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-19T09:28:12.327+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897134.json -> /tmp/minio_downloads/1773897134.json
[2026-03-19T09:28:12.338+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897144.json -> /tmp/minio_downloads/1773897144.json
[2026-03-19T09:28:12.350+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897154.json -> /tmp/minio_downloads/1773897154.json
[2026-03-19T09:28:12.361+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897164.json -> /tmp/minio_downloads/1773897164.json
[2026-03-19T09:28:12.372+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897174.json -> /tmp/minio_downloads/1773897174.json
[2026-03-19T09:28:12.383+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897185.json -> /tmp/minio_downloads/1773897185.json
[2026-03-19T09:28:12.396+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897195.json -> /tmp/minio_downloads/1773897195.json
[2026-03-19T09:28:12.407+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897205.json -> /tmp/minio_downloads/1773897205.json
[2026-03-19T09:28:12.419+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897215.json -> /tmp/minio_downloads/1773897215.json
[2026-03-19T09:28:12.431+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897225.json -> /tmp/minio_downloads/1773897225.json
[2026-03-19T09:28:12.443+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897235.json -> /tmp/minio_downloads/1773897235.json
[2026-03-19T09:28:12.456+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897245.json -> /tmp/minio_downloads/1773897245.json
[2026-03-19T09:28:12.468+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897255.json -> /tmp/minio_downloads/1773897255.json
[2026-03-19T09:28:12.481+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897265.json -> /tmp/minio_downloads/1773897265.json
[2026-03-19T09:28:12.492+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897275.json -> /tmp/minio_downloads/1773897275.json
[2026-03-19T09:28:12.504+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897285.json -> /tmp/minio_downloads/1773897285.json
[2026-03-19T09:28:12.516+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897295.json -> /tmp/minio_downloads/1773897295.json
[2026-03-19T09:28:12.528+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897305.json -> /tmp/minio_downloads/1773897305.json
[2026-03-19T09:28:12.539+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897315.json -> /tmp/minio_downloads/1773897315.json
[2026-03-19T09:28:12.552+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897325.json -> /tmp/minio_downloads/1773897325.json
[2026-03-19T09:28:12.566+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897336.json -> /tmp/minio_downloads/1773897336.json
[2026-03-19T09:28:12.578+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897346.json -> /tmp/minio_downloads/1773897346.json
[2026-03-19T09:28:12.590+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897356.json -> /tmp/minio_downloads/1773897356.json
[2026-03-19T09:28:12.602+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897366.json -> /tmp/minio_downloads/1773897366.json
[2026-03-19T09:28:12.613+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897376.json -> /tmp/minio_downloads/1773897376.json
[2026-03-19T09:28:12.625+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897386.json -> /tmp/minio_downloads/1773897386.json
[2026-03-19T09:28:12.636+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897396.json -> /tmp/minio_downloads/1773897396.json
[2026-03-19T09:28:12.648+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897406.json -> /tmp/minio_downloads/1773897406.json
[2026-03-19T09:28:12.660+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897416.json -> /tmp/minio_downloads/1773897416.json
[2026-03-19T09:28:12.672+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897426.json -> /tmp/minio_downloads/1773897426.json
[2026-03-19T09:28:12.684+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897436.json -> /tmp/minio_downloads/1773897436.json
[2026-03-19T09:28:12.695+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897446.json -> /tmp/minio_downloads/1773897446.json
[2026-03-19T09:28:12.707+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897456.json -> /tmp/minio_downloads/1773897456.json
[2026-03-19T09:28:12.720+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897466.json -> /tmp/minio_downloads/1773897466.json
[2026-03-19T09:28:12.732+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897476.json -> /tmp/minio_downloads/1773897476.json
[2026-03-19T09:28:12.743+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897486.json -> /tmp/minio_downloads/1773897486.json
[2026-03-19T09:28:12.754+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897497.json -> /tmp/minio_downloads/1773897497.json
[2026-03-19T09:28:12.766+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897507.json -> /tmp/minio_downloads/1773897507.json
[2026-03-19T09:28:12.778+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897517.json -> /tmp/minio_downloads/1773897517.json
[2026-03-19T09:28:12.789+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897527.json -> /tmp/minio_downloads/1773897527.json
[2026-03-19T09:28:12.800+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897537.json -> /tmp/minio_downloads/1773897537.json
[2026-03-19T09:28:12.811+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897548.json -> /tmp/minio_downloads/1773897548.json
[2026-03-19T09:28:12.823+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897558.json -> /tmp/minio_downloads/1773897558.json
[2026-03-19T09:28:12.834+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897568.json -> /tmp/minio_downloads/1773897568.json
[2026-03-19T09:28:12.846+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897578.json -> /tmp/minio_downloads/1773897578.json
[2026-03-19T09:28:12.857+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897588.json -> /tmp/minio_downloads/1773897588.json
[2026-03-19T09:28:12.868+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897598.json -> /tmp/minio_downloads/1773897598.json
[2026-03-19T09:28:12.879+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897608.json -> /tmp/minio_downloads/1773897608.json
[2026-03-19T09:28:12.890+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897619.json -> /tmp/minio_downloads/1773897619.json
[2026-03-19T09:28:12.901+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897628.json -> /tmp/minio_downloads/1773897628.json
[2026-03-19T09:28:12.913+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897639.json -> /tmp/minio_downloads/1773897639.json
[2026-03-19T09:28:12.924+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897649.json -> /tmp/minio_downloads/1773897649.json
[2026-03-19T09:28:12.936+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897659.json -> /tmp/minio_downloads/1773897659.json
[2026-03-19T09:28:12.948+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897669.json -> /tmp/minio_downloads/1773897669.json
[2026-03-19T09:28:12.959+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897679.json -> /tmp/minio_downloads/1773897679.json
[2026-03-19T09:28:12.971+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897689.json -> /tmp/minio_downloads/1773897689.json
[2026-03-19T09:28:12.982+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897699.json -> /tmp/minio_downloads/1773897699.json
[2026-03-19T09:28:12.994+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897709.json -> /tmp/minio_downloads/1773897709.json
[2026-03-19T09:28:13.006+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897719.json -> /tmp/minio_downloads/1773897719.json
[2026-03-19T09:28:13.018+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897730.json -> /tmp/minio_downloads/1773897730.json
[2026-03-19T09:28:13.030+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897740.json -> /tmp/minio_downloads/1773897740.json
[2026-03-19T09:28:13.042+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897750.json -> /tmp/minio_downloads/1773897750.json
[2026-03-19T09:28:13.053+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897760.json -> /tmp/minio_downloads/1773897760.json
[2026-03-19T09:28:13.067+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897770.json -> /tmp/minio_downloads/1773897770.json
[2026-03-19T09:28:13.079+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897780.json -> /tmp/minio_downloads/1773897780.json
[2026-03-19T09:28:13.091+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897790.json -> /tmp/minio_downloads/1773897790.json
[2026-03-19T09:28:13.104+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897800.json -> /tmp/minio_downloads/1773897800.json
[2026-03-19T09:28:13.115+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897810.json -> /tmp/minio_downloads/1773897810.json
[2026-03-19T09:28:13.127+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897821.json -> /tmp/minio_downloads/1773897821.json
[2026-03-19T09:28:13.138+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897831.json -> /tmp/minio_downloads/1773897831.json
[2026-03-19T09:28:13.151+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897841.json -> /tmp/minio_downloads/1773897841.json
