[2026-03-19T09:56:10.263+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896943.json to Snowflake stage
[2026-03-19T09:56:10.383+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896953.json to Snowflake stage
[2026-03-19T09:56:10.541+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896963.json to Snowflake stage
[2026-03-19T09:56:10.694+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896973.json to Snowflake stage
[2026-03-19T09:56:10.828+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896983.json to Snowflake stage
[2026-03-19T09:56:10.977+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773896993.json to Snowflake stage
[2026-03-19T09:56:11.125+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897003.json to Snowflake stage
[2026-03-19T09:56:11.246+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897013.json to Snowflake stage
[2026-03-19T09:56:11.777+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897023.json to Snowflake stage
[2026-03-19T09:56:11.891+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897033.json to Snowflake stage
[2026-03-19T09:56:12.041+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897043.json to Snowflake stage
[2026-03-19T09:56:12.199+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897054.json to Snowflake stage
[2026-03-19T09:56:12.380+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897064.json to Snowflake stage
[2026-03-19T09:56:12.511+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897074.json to Snowflake stage
[2026-03-19T09:56:12.634+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897084.json to Snowflake stage
[2026-03-19T09:56:12.785+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897094.json to Snowflake stage
[2026-03-19T09:56:12.905+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897104.json to Snowflake stage
[2026-03-19T09:56:13.096+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897114.json to Snowflake stage
[2026-03-19T09:56:13.209+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897124.json to Snowflake stage
[2026-03-19T09:56:13.379+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897134.json to Snowflake stage
[2026-03-19T09:56:13.528+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897144.json to Snowflake stage
[2026-03-19T09:56:13.683+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897154.json to Snowflake stage
[2026-03-19T09:56:13.876+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897164.json to Snowflake stage
[2026-03-19T09:56:14.010+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897174.json to Snowflake stage
[2026-03-19T09:56:14.157+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897185.json to Snowflake stage
[2026-03-19T09:56:14.298+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897195.json to Snowflake stage
[2026-03-19T09:56:14.483+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897205.json to Snowflake stage
[2026-03-19T09:56:14.692+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897215.json to Snowflake stage
[2026-03-19T09:56:14.866+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897225.json to Snowflake stage
[2026-03-19T09:56:15.048+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897235.json to Snowflake stage
[2026-03-19T09:56:15.718+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897245.json to Snowflake stage
[2026-03-19T09:56:15.879+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897255.json to Snowflake stage
[2026-03-19T09:56:16.030+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897265.json to Snowflake stage
[2026-03-19T09:56:16.177+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897275.json to Snowflake stage
[2026-03-19T09:56:16.292+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897285.json to Snowflake stage
[2026-03-19T09:56:16.500+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897295.json to Snowflake stage
[2026-03-19T09:56:16.629+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897305.json to Snowflake stage
[2026-03-19T09:56:16.775+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897315.json to Snowflake stage
[2026-03-19T09:56:16.902+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897325.json to Snowflake stage
[2026-03-19T09:56:17.060+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897336.json to Snowflake stage
[2026-03-19T09:56:17.182+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897346.json to Snowflake stage
[2026-03-19T09:56:17.370+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897356.json to Snowflake stage
[2026-03-19T09:56:17.492+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897366.json to Snowflake stage
[2026-03-19T09:56:17.702+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897376.json to Snowflake stage
[2026-03-19T09:56:18.015+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897386.json to Snowflake stage
[2026-03-19T09:56:18.162+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897396.json to Snowflake stage
[2026-03-19T09:56:18.332+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897406.json to Snowflake stage
[2026-03-19T09:56:18.452+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897416.json to Snowflake stage
[2026-03-19T09:56:18.610+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897426.json to Snowflake stage
[2026-03-19T09:56:18.738+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897436.json to Snowflake stage
[2026-03-19T09:56:18.924+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897446.json to Snowflake stage
[2026-03-19T09:56:19.053+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897456.json to Snowflake stage
[2026-03-19T09:56:19.242+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897466.json to Snowflake stage
[2026-03-19T09:56:19.393+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897476.json to Snowflake stage
[2026-03-19T09:56:19.588+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897486.json to Snowflake stage
[2026-03-19T09:56:19.748+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897497.json to Snowflake stage
[2026-03-19T09:56:19.954+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897507.json to Snowflake stage
[2026-03-19T09:56:20.115+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897517.json to Snowflake stage
[2026-03-19T09:56:20.362+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897527.json to Snowflake stage
[2026-03-19T09:56:20.516+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897537.json to Snowflake stage
[2026-03-19T09:56:20.681+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897548.json to Snowflake stage
[2026-03-19T09:56:20.826+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897558.json to Snowflake stage
[2026-03-19T09:56:21.006+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897568.json to Snowflake stage
[2026-03-19T09:56:21.149+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897578.json to Snowflake stage
[2026-03-19T09:56:21.319+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897588.json to Snowflake stage
[2026-03-19T09:56:21.527+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897598.json to Snowflake stage
[2026-03-19T09:56:21.665+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897608.json to Snowflake stage
[2026-03-19T09:56:21.825+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897619.json to Snowflake stage
[2026-03-19T09:56:21.998+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897628.json to Snowflake stage
